"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","year","address","lat","long"
8520,2018-06-09,"DOG","Poodle, Standard","11","M",FALSE,"Queens","11375",2018,"11375 Queens New York, USA",40.7194096215148,-73.8478887929016
8521,2018-04-21,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11373",2018,"11373 Queens New York, USA",40.7397822779623,-73.8785793906172
8522,2018-06-11,"DOG","Pit Bull",NA,"U",FALSE,"Queens","11365",2018,"11365 Queens New York, USA",40.7387437358211,-73.7932797307975
8523,2018-06-09,"DOG","GRIFFON BRUXELLOIS",NA,"U",FALSE,"Queens","11421",2018,"11421 Queens New York, USA",40.6910488625114,-73.8577829040738
8525,2018-05-26,"DOG","Shih Tzu","9","M",FALSE,"Queens","11378",2018,"11378 Queens New York, USA",40.7239938576946,-73.9002665197177
8526,2018-06-12,"DOG","Dachshund Smooth Coat",NA,"U",FALSE,"Queens","11377",2018,"11377 Queens New York, USA",40.7448179286266,-73.9043849878731
8527,2018-06-12,"DOG","Bull dog","10M","F",FALSE,"Queens","11434",2018,"11434 Queens New York, USA",40.677346111382,-73.7794784470425
8529,2018-06-11,"DOG","Shih Tzu","7M","F",FALSE,"Queens","11372",2018,"11372 Queens New York, USA",40.7514429904614,-73.883201182621
8530,2018-06-12,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11377",2018,"11377 Queens New York, USA",40.7448179286266,-73.9043849878731
8533,2018-06-12,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11356",2018,"11356 Queens New York, USA",40.7859742804839,-73.844753369866
8534,2018-06-13,"DOG","PIT BULL / JACK RUSSELL MIX","6","F",TRUE,"Queens","11436",2018,"11436 Queens New York, USA",40.676619169769,-73.7962230395156
8535,2018-06-10,"DOG","Maltese","8","M",TRUE,"Queens","11420",2018,"11420 Queens New York, USA",40.675381195899,-73.8150708914465
8537,2018-06-13,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11103",2018,"11103 Queens New York, USA",40.7625541722896,-73.9137084514915
8538,2018-06-14,"DOG","Rottweiler","6","M",TRUE,"Queens","11379",2018,"11379 Queens New York, USA",40.7190010906953,-73.87953956306
8541,2018-06-12,"DOG","Siberian Husky","1M","F",FALSE,"Queens","11421",2018,"11421 Queens New York, USA",40.6910488625114,-73.8577829040738
8542,2018-06-01,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11361",2018,"11361 Queens New York, USA",40.7633426297976,-73.7742725726029
8543,2018-06-14,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11368",2018,"11368 Queens New York, USA",40.7480741704868,-73.8606222545723
8544,2018-06-08,"DOG","MIXED BREED","10","F",FALSE,"Queens","11106",2018,"11106 Queens New York, USA",40.7612374091224,-73.9295764110696
8545,2018-06-17,"DOG","GOLDEN RETREIVER/ GERMAN SHEPHERD","5","M",TRUE,"Queens","11423",2018,"11423 Queens New York, USA",40.7147939432765,-73.7676713355829
8546,2018-06-16,"DOG","MIXED BREED","4","F",FALSE,"Queens","11413",2018,"11413 Queens New York, USA",40.6731204549014,-73.7496611172739
8548,2018-06-18,"DOG","Dachshund, Wirehaired","8","F",TRUE,"Queens","11375",2018,"11375 Queens New York, USA",40.7194096215148,-73.8478887929016
8549,2018-06-16,"DOG","Shih Tzu",NA,"M",FALSE,"Queens","11412",2018,"11412 Queens New York, USA",40.6978841605023,-73.7581213082323
8550,2018-06-17,"DOG","Chihuahua Crossbreed","5","F",FALSE,"Queens","11105",2018,"11105 Queens New York, USA",40.7756948222476,-73.9094551349209
8552,2018-06-17,"DOG","Labrador Retriever","10","F",TRUE,"Queens","11357",2018,"11357 Queens New York, USA",40.7851121939725,-73.8104846891973
8553,2018-06-17,"DOG","Pit Bull",NA,"U",FALSE,"Queens","11364",2018,"11364 Queens New York, USA",40.7468700179413,-73.759505532842
8555,2018-06-21,"DOG","Poodle, Standard",NA,"F",FALSE,"Queens","11421",2018,"11421 Queens New York, USA",40.6910488625114,-73.8577829040738
8556,2018-06-09,"DOG","JACK RUSS TERRIER MIX","4","M",TRUE,"Queens","11372",2018,"11372 Queens New York, USA",40.7514429904614,-73.883201182621
8557,2018-06-21,"DOG","AUSTRALIAN SHEPHERD MIX","9","F",TRUE,"Queens","11414",2018,"11414 Queens New York, USA",40.6583981542169,-73.8423213721195
8559,2018-06-21,"DOG","Pit Bull","8","F",TRUE,"Queens","11422",2018,"11422 Queens New York, USA",40.6635696501494,-73.7355811005432
8560,2018-06-15,"DOG","Chihuahua","2","F",TRUE,"Queens","11365",2018,"11365 Queens New York, USA",40.7387437358211,-73.7932797307975
8561,2018-06-16,"DOG","Pit Bull",NA,"U",FALSE,"Queens","11433",2018,"11433 Queens New York, USA",40.6972484621724,-73.7869127277119
8562,2018-06-16,"DOG","UNKNOWN",NA,"U",FALSE,"Queens","11362",2018,"11362 Queens New York, USA",40.7601605254077,-73.7338955262661
8563,2018-06-21,"DOG","Pit Bull","10","F",TRUE,"Queens","11691",2018,"11691 Queens New York, USA",40.6015466168774,-73.7576690296824
8564,2018-06-22,"DOG","Shih Tzu","7","M",TRUE,"Queens","11379",2018,"11379 Queens New York, USA",40.7190010906953,-73.87953956306
8565,2018-06-27,"DOG","MIXED BREED","4","M",FALSE,"Queens","11412",2018,"11412 Queens New York, USA",40.6978841605023,-73.7581213082323
8566,2018-06-24,"DOG","MIXED BREED","1","M",FALSE,"Queens","11421",2018,"11421 Queens New York, USA",40.6910488625114,-73.8577829040738
8567,2018-06-26,"DOG","UNSURE","3","F",FALSE,"Queens","11357",2018,"11357 Queens New York, USA",40.7851121939725,-73.8104846891973
8568,2018-06-12,"DOG","MALTESE / POODLE MIX","12","M",FALSE,"Queens","11105",2018,"11105 Queens New York, USA",40.7756948222476,-73.9094551349209
8569,2018-06-21,"DOG","American Pit Bull Mix / Pit Bull Mix","5","M",TRUE,"Queens","11434",2018,"11434 Queens New York, USA",40.677346111382,-73.7794784470425
8570,2018-06-26,"DOG","PIT BULL / LABRADOR / ROTTWEILER MIX","4","M",FALSE,"Queens","11413",2018,"11413 Queens New York, USA",40.6731204549014,-73.7496611172739
8571,2018-06-23,"DOG","MIXED BREED","9","F",TRUE,"Queens","11372",2018,"11372 Queens New York, USA",40.7514429904614,-73.883201182621
8573,2018-06-28,"DOG","West High White Terrier","2","F",TRUE,"Queens","11377",2018,"11377 Queens New York, USA",40.7448179286266,-73.9043849878731
8575,2018-06-25,"DOG","AMERICAN BULL DOG",NA,"U",FALSE,"Queens","11372",2018,"11372 Queens New York, USA",40.7514429904614,-73.883201182621
